College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Welding Techniques (T166),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/welding-techniques-program-t166?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Architectural Technician (T132),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/architectural-technician-program-t132?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Architectural Technology (T109),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/architectural-technology-program-t109?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Interior Design (T178),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/interior-design-program-t178?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Advanced Manufacturing (T414),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/advanced-manufacturing-program-t414?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Automation Technician (Distance Education) (T950),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/automation-technician-program-distance-education-t950?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Electric Vehicle (EV) Technician (T951),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electric-vehicle-ev-technician-program-t951?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Electromechanical Engineering Technician (T146),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electromechanical-engineering-technician-program-t146?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Electromechanical Engineering Technology – Building Automation (T171),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electromechanical-engineering-technology-building-automation-program-t171?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Electromechanical Engineering Technology - Power and Control (T182),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electromechanical-engineering-technology-power-and-control-program-t182?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Electromechanical Technician (Distance Education) (T902),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electromechanical-technician-program-distance-education-t902?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Electronics Technician (Distance Education) (T901),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/electronics-technician-program-distance-education-t901?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Mechanical Engineering Technology – Design (T121),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/mechanical-engineering-technology-design-program-t121?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Mechanical Technician – CNC and Precision Machining (T173),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/mechanical-technician-cnc-and-precision-machining-program-t173?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Programmable Logic Controllers (PLC) Technician (Distance Education) (T903),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/programmable-logic-controllers-plc-technician-program-distance-education-t903?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Programmable Logic Controllers (PLC) Technician II (Distance Education) (T949),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/programmable-logic-controllers-plc-technician-ii-program-distance-education-t949?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Robotics Technician (Distance Education) (T948),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/robotics-technician-program-distance-education-t948?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,Dental Assisting (Levels I and II) (S113),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/dental-assisting-levels-i-and-ii-program-s113?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Dental Hygiene (S134),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/dental-hygiene-program-s134?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Dental Technology (S100),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/dental-technology-program-s100?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Denturism (S101),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/denturism-program-s101?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Autism and Behavioural Science (Postgraduate) (C405),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/autism-and-behavioural-science-program-postgraduate-c405?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Behavioural Science Technician (C146),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/behavioural-science-technician-program-c146?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Behavioural Science Technician (Accelerated) (C156),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/behavioural-science-technician-program-accelerated-c156?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Hearing Instrument Specialist (S117),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/hearing-instrument-specialist-program-s117?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Honours Bachelor of Behaviour Analysis (S302),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-behaviour-analysis-program-s302?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Recreation Management in Gerontology (C152),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/recreation-management-in-gerontology-program-c152?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Dental Office Administration (S115),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/dental-office-administration-program-s115?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Health Information Management (C139),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/health-information-management-program-c139?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Office Administration – Health Services (S135),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/office-administration-health-services-program-s135?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Advanced French Patisserie (Postgraduate) (H413),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/advanced-french-patisserie-program-postgraduate-h413?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Baking and Pastry Arts Management (H113),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/baking-and-pastry-arts-management-program-h113?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Baking and Pastry Foundations (H128),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/baking-and-pastry-foundations-h128?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Culinary Arts – Italian (Postgraduate) (H411),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/culinary-arts-italian-program-postgraduate-h411?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Culinary Management (Integrated Learning) (H116),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/culinary-management-program-integrated-learning-h116?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Culinary Management (H100),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/culinary-management-program-h100?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Culinary Management – Nutrition (H119),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/culinary-management-nutrition-program-h119?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Culinary Skills (H134),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/culinary-skills-program-h134?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Food and Nutrition Management (Postgraduate) (H402),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/food-and-nutrition-management-program-postgraduate-h402?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Honours Bachelor of Commerce (Culinary Management) (H315),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-commerce-program-culinary-management-h315?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Commerce (Culinary Management) (Bridging) (H316),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-commerce-culinary-management-program-bridging-h316?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Food Studies (H317),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-food-studies-program-h317?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Food Studies (H318),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-food-studies-program-bridging-h318?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,International Cuisine (Postgraduate) (H415),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/international-cuisine-program-postgraduate-h415?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Advanced Wine and Beverage Business Management (Postgraduate) (H414),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/advanced-wine-and-beverage-business-management-program-postgraduate-h414?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Event Planning (H141),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/event-planning-program-h141?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Food and Beverage Management – Restaurant Management (H132),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/food-and-beverage-management-restaurant-management-program-h132?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Food Tourism Entrepreneurship (Postgraduate) (H417),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/food-tourism-entrepreneurship-program-postgraduate-h417?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Honours Bachelor of Business Administration (Hospitality) (Fast-Track) (H312),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-business-administration-program-hospitality-fast-track-h312?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Honours Bachelor of Business Administration (Hospitality) (H311),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-business-administration-hospitality-program-h311?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Hospitality – Hotel Operations Management (H133),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/hospitality-hotel-operations-management-program-h133?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Hospitality Services (H101),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/hospitality-services-program-h101?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Tourism and Hospitality Management (H130),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/tourism-and-hospitality-management-program-h130?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Continuing Education ESL Pathway to George Brown College Certificates and Diplomas (R903),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/continuing-education-esl-pathway-to-george-brown-college-certificates-and-diplomas-program-r903?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,English As A Second Language (ESL) (R901),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/english-as-a-second-language-esl-program-r901?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,English for Professional Success (EPS) (R902),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/english-for-professional-success-eps-program-r902?year=2023,George Brown College Certificate,,6,105,54,60,169
george brown college,General Arts and Science – English for Academic Purposes (for International Students) (R115),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/general-arts-and-science-english-for-academic-purposes-program-for-international-students-r115?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,General Arts and Science (Diploma) (R101),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/general-arts-and-science-program-diploma-r101?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,General Arts and Science – One-Year (Certificate) (R104),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/general-arts-and-science-one-year-program-certificate-r104?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Human Services Foundations (A113),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/human-services-foundations-program-a113?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Pre-Business (A146),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/pre-business-program-a146?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (A108),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/pre-health-sciences-pathway-to-advanced-diplomas-and-degrees-program-a108?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Pre-Health Sciences Pathway to Certificates and Diplomas (A109),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/pre-health-sciences-pathway-to-certificates-and-diplomas-program-a109?year=2023,Ontario College Certificate,,6,105,54,60,169
